vol_ratio,turnover_rate,pe_ttm,pct_chg_1d,pct_chg_5d,pct_chg_20d,ma5_slope,ma20_slope,bias_5,bias_20,rsi_14,std_20_ratio,position_20d,position_250d,macd_dif,macd_dea,macd_hist,index_pct_chg,sector_pct_chg,moneyflow_score,tech_score,new_score,label,trade_date,ts_code
1.0,0.0,0.0,2.9757,4.365071,2.175604,0.8746803,0.11189267,3.6575727,4.9816346,79.35483,1.6678668,1.0,0.0,0.05954825,-0.015626155,0.15034881,0.0,0.0,0.0,0.0,0.0,1,20230403,601688.SH
1.0,0.0,0.0,-7.7548,-10.079196,-17.065073,-2.049481,-0.8895196,-6.6656675,-12.764098,31.407951,6.212755,0.0,0.0,-0.7279087,-0.41440338,-0.6270105,0.0,0.0,0.0,0.0,0.0,1,20230403,600026.SH
1.0,0.0,0.0,20.0085,43.506813,84.71545,8.125323,3.988303,23.936283,67.25313,88.973885,24.290958,1.0,0.0,5.21683,2.9003108,4.633038,0.0,0.0,0.0,0.0,0.0,0,20230403,688327.SH
1.0,0.0,0.0,4.8037,2.9122288,5.199155,0.5876522,0.26048747,3.2255414,5.139648,54.929577,3.2114606,0.92887044,0.0,5.0227494,5.559906,-1.0743129,0.0,0.0,0.0,0.0,0.0,0,20230403,300075.SZ
1.0,0.0,0.0,3.4846,2.8180397,19.737467,0.5674457,0.88235945,2.934067,6.120419,64.36781,6.867086,0.949153,0.0,2.6104753,2.7609382,-0.3009255,0.0,0.0,0.0,0.0,0.0,1,20230403,603005.SH
1.0,0.0,0.0,1.9084,2.9562984,3.6222458,0.5872841,0.19039822,1.6669487,8.728113,67.264046,5.1891065,1.0,0.0,0.5863058,-0.17654788,1.5257075,0.0,0.0,0.0,0.0,0.0,0,20230403,000821.SZ
1.0,0.0,0.0,-0.5105,-17.799898,-15.898498,-3.757658,-0.8157011,-9.847895,-12.990676,32.26568,5.301198,0.0,0.0,-3.824173,-3.3888147,-0.87071633,0.0,0.0,0.0,0.0,0.0,1,20230403,300759.SZ
1.0,0.0,0.0,15.3979,25.690958,38.66944,5.0521903,1.8642259,17.643606,31.256155,85.41291,10.023134,1.0,0.0,1.7049639,0.8141082,1.7817115,0.0,0.0,0.0,0.0,0.0,1,20230403,688110.SH
1.0,0.0,0.0,3.6918,17.883213,25.193808,3.40396,1.2104286,8.498488,18.859245,83.937836,6.9010463,1.0,0.0,1.1029003,0.6692887,0.8672232,0.0,0.0,0.0,0.0,0.0,0,20230403,002491.SZ
1.0,0.0,0.0,0.6351,3.4136539,7.515662,0.6777632,0.37565565,1.9701036,7.076957,62.26012,4.008136,1.0,0.0,0.46225187,0.06359383,0.79731613,0.0,0.0,0.0,0.0,0.0,0,20230403,300498.SZ
1.0,0.0,0.0,3.3033,-1.9943018,13.907284,-0.41791043,0.671785,3.117507,9.310455,69.42149,6.183262,0.88135594,0.0,3.366481,2.784408,1.1641462,0.0,0.0,0.0,0.0,0.0,0,20230403,002195.SZ
1.0,0.0,0.0,1.4535,-2.3776214,6.0790358,-0.4847446,0.28210774,2.130011e-06,-1.8215022,49.387764,5.079144,0.44000053,0.0,0.22535707,0.34476948,-0.23882483,0.0,0.0,0.0,0.0,0.0,1,20230403,601390.SH
1.0,0.0,0.0,2.7836,1.3055841,-10.318259,0.2668837,-0.5645731,3.2673688,-1.3023869,35.76389,4.5246925,0.33153626,0.0,-2.5260131,-2.774936,0.49784586,0.0,0.0,0.0,0.0,0.0,0,20230403,688599.SH
1.0,0.0,0.0,2.8169,22.036469,34.056755,4.053675,1.6500847,7.872109,27.795013,90.20269,11.944593,1.0,0.0,2.9831102,1.5416706,2.8828793,0.0,0.0,0.0,0.0,0.0,0,20230403,000936.SZ
1.0,0.0,0.0,5.3082,2.8428075,20.82514,0.57393616,0.99493116,3.222556,14.312267,77.350426,8.136757,1.0,0.0,4.8785515,3.5435164,2.67007,0.0,0.0,0.0,0.0,0.0,0,20230403,002400.SZ
1.0,0.0,0.0,4.6638,10.7286215,13.864298,2.047967,0.68212783,3.562993,11.28409,81.27659,4.9633975,1.0,0.0,3.3066409,2.3332586,1.9467645,0.0,0.0,0.0,0.0,0.0,0,20230403,300077.SZ
