ts_code,name,strategy,close,pct_chg,vol_ratio,patterns,position_ratio,reason
002946.SZ,新乳业,☆缩量洗盘,18.49,-0.108,0.72,连续缩量+地量+缩量,0.6,"上升趋势中缩量回调,支撑有效"
002449.SZ,国星光电,☆缩量洗盘,8.8,-0.1135,1.03,,0.32,"上升趋势中缩量回调,支撑有效"
002605.SZ,姚记科技,☆缩量洗盘,26.3,-0.1139,0.85,缩量,0.45,"上升趋势中缩量回调,支撑有效"
002517.SZ,恺英网络,☆缩量洗盘,24.78,-0.1209,0.65,连续缩量+地量+缩量,0.55,"上升趋势中缩量回调,支撑有效"
601921.SH,浙版传媒,☆缩量洗盘,8.21,-0.1217,0.76,连续缩量+地量+缩量,0.32,"上升趋势中缩量回调,支撑有效"
002649.SZ,博彦科技,☆缩量洗盘,14.22,-0.1404,0.9,连续缩量+地量+缩量,0.45,"上升趋势中缩量回调,支撑有效"
002404.SZ,嘉欣丝绸,☆缩量洗盘,7.1,-0.1406,0.73,地量+缩量,0.46,"上升趋势中缩量回调,支撑有效"
601801.SH,皖新传媒,☆缩量洗盘,6.9,-0.1447,0.88,平量+缩量,0.57,"上升趋势中缩量回调,支撑有效"
600292.SH,电投水电,☆缩量洗盘,13.5,-0.1479,0.92,连续缩量,0.24,"上升趋势中缩量回调,支撑有效"
000715.SZ,中兴商业,☆缩量洗盘,6.39,-0.1563,0.87,缩量,0.6,"上升趋势中缩量回调,支撑有效"
002645.SZ,华宏科技,☆缩量洗盘,16.59,-0.1805,0.85,地量+缩量,0.65,"上升趋势中缩量回调,支撑有效"
601890.SH,亚星锚链,☆缩量洗盘,10.84,-0.1842,0.66,连续缩量+地量+缩量,0.57,"上升趋势中缩量回调,支撑有效"
600563.SH,法拉电子,☆缩量洗盘,114.72,-0.2435,0.84,连续缩量+地量+缩量,0.43,"上升趋势中缩量回调,支撑有效"
603303.SH,得邦照明,☆缩量洗盘,14.62,-0.2729,0.5,连续缩量+地量+缩量,0.52,"上升趋势中缩量回调,支撑有效"
002328.SZ,新朋股份,☆缩量洗盘,7.13,-0.2797,0.74,连续缩量+地量+缩量,0.65,"上升趋势中缩量回调,支撑有效"
000428.SZ,华天酒店,☆缩量洗盘,3.48,-0.2865,0.68,连续缩量+地量+缩量,0.32,"上升趋势中缩量回调,支撑有效"
600825.SH,新华传媒,☆缩量洗盘,6.88,-0.2899,0.67,连续缩量+地量+缩量,0.53,"上升趋势中缩量回调,支撑有效"
