ts_code,name,list_date,delist_date
000888.SZ,峨眉山Ａ,19971021,
000889.SZ,中嘉博创,19971218,
000890.SZ,法尔胜,19990119,
000892.SZ,欢瑞世纪,19990115,
000893.SZ,亚钾国际,19981224,
000895.SZ,双汇发展,19981210,
001896.SZ,豫能控股,19980122,
000897.SZ,津滨发展,19990422,
000898.SZ,鞍钢股份,19971225,
000899.SZ,赣能股份,19971126,
000900.SZ,现代投资,19990128,
000901.SZ,航天科技,19990401,
000902.SZ,新洋丰,19990408,
000903.SZ,ST云动,19990415,
000905.SZ,厦门港务,19990429,
000906.SZ,浙商中拓,19990707,
000908.SZ,*ST景峰,19990203,
000909.SZ,ST数源,19990507,
000910.SZ,大亚圣象,19990630,
000911.SZ,广农糖业,19990527,
000912.SZ,泸天化,19990603,
000913.SZ,钱江摩托,19990514,
000915.SZ,华特达因,19990609,
000917.SZ,电广传媒,19990325,
000919.SZ,金陵药业,19991118,
000920.SZ,沃顿科技,19990616,
000921.SZ,海信家电,19990713,
000922.SZ,佳电股份,19990618,
000923.SZ,河钢资源,19990714,
000925.SZ,众合科技,19990611,
000926.SZ,福星股份,19990618,
000927.SZ,中国铁物,19990727,
000928.SZ,中钢国际,19990312,
000929.SZ,*ST兰黄,19990623,
000930.SZ,中粮科技,19990712,
000931.SZ,中关村,19990712,
000932.SZ,华菱钢铁,19990803,
000933.SZ,神火股份,19990831,
000935.SZ,四川双马,19990824,
000936.SZ,华西股份,19990810,
000937.SZ,冀中能源,19990909,
000938.SZ,紫光股份,19991104,
000948.SZ,南天信息,19991014,
000949.SZ,新乡化纤,19991021,
000950.SZ,重药控股,19990916,
000951.SZ,中国重汽,19991125,
000952.SZ,广济药业,19991112,
000953.SZ,河化股份,19991202,
000955.SZ,欣龙控股,19991209,
000957.SZ,中通客车,20000113,
000958.SZ,电投产融,19991223,
000959.SZ,首钢股份,19991216,
000960.SZ,锡业股份,20000221,
000962.SZ,东方钽业,20000120,
000963.SZ,华东医药,20000127,
000965.SZ,天保基建,20000406,
000966.SZ,长源电力,20000316,
000967.SZ,盈峰环境,20000330,
000968.SZ,蓝焰控股,20000622,
000969.SZ,安泰科技,20000529,
000970.SZ,中科三环,20000420,
000972.SZ,*ST中基,20000926,
000973.SZ,佛塑科技,20000525,
000975.SZ,山金国际,20000608,
000977.SZ,浪潮信息,20000608,
000978.SZ,桂林旅游,20000518,
000980.SZ,众泰汽车,20000616,
000981.SZ,山子高科,20000622,
000983.SZ,山西焦煤,20000726,
000985.SZ,大庆华科,20000726,
000987.SZ,越秀资本,20000718,
000988.SZ,华工科技,20000608,
000989.SZ,九芝堂,20000628,
000990.SZ,诚志股份,20000706,
000993.SZ,闽东电力,20000731,
000995.SZ,皇台酒业,20000807,
000997.SZ,新大陆,20000807,
000998.SZ,隆平高科,20001211,
000999.SZ,华润三九,20000309,
002001.SZ,新和成,20040625,
002181.SZ,粤传媒,20071116,
600000.SH,浦发银行,19991110,
600004.SH,白云机场,20030428,
600006.SH,东风股份,19990727,
600007.SH,中国国贸,19990312,
600008.SH,首创环保,20000427,
600009.SH,上海机场,19980218,
600010.SH,包钢股份,20010309,
600011.SH,华能国际,20011206,
600012.SH,皖通高速,20030107,
600015.SH,华夏银行,20030912,
600016.SH,民生银行,20001219,
600019.SH,宝钢股份,20001212,
600020.SH,中原高速,20030808,
600021.SH,上海电力,20031029,
600026.SH,中远海能,20020523,
600028.SH,中国石化,20010808,
600029.SH,南方航空,20030725,
600030.SH,中信证券,20030106,
600031.SH,三一重工,20030703,
600033.SH,福建高速,20010209,
600035.SH,楚天高速,20040310,
600036.SH,招商银行,20020409,
600037.SH,歌华有线,20010208,
600038.SH,中直股份,20001218,
600039.SH,四川路桥,20030325,
600050.SH,中国联通,20021009,
600051.SH,宁波联合,19970410,
600052.SH,东望时代,19970415,
600053.SH,九鼎投资,19970418,
600054.SH,黄山旅游,19970506,
600055.SH,万东医疗,19970519,
600056.SH,中国医药,19970515,
600057.SH,厦门象屿,19970604,
600058.SH,五矿发展,19970528,
600059.SH,古越龙山,19970516,
600060.SH,海信视像,19970422,
600061.SH,国投资本,19970519,
600062.SH,华润双鹤,19970522,
600063.SH,皖维高新,19970528,
600064.SH,南京高科,19970506,
600066.SH,宇通客车,19970508,
600067.SH,冠城新材,19970508,
600071.SH,凤凰光学,19970528,
600072.SH,中船科技,19970603,
600073.SH,光明肉业,19970704,
600075.SH,新疆天业,19970617,
600076.SH,康欣新材,19970526,
600078.SH,澄星股份,19970627,
600079.SH,ST人福,19970606,
600080.SH,金花股份,19970612,
600081.SH,东风科技,19970703,
600082.SH,海泰发展,19970620,
600084.SH,中信尼雅,19970711,
600085.SH,同仁堂,19970625,
600088.SH,中视传媒,19970616,
600089.SH,特变电工,19970618,
600094.SH,大名城,19970703,
600095.SH,湘财股份,19970708,
600096.SH,云天化,19970709,
600097.SH,开创国际,19970619,
600098.SH,广州发展,19970718,
600099.SH,林海股份,19970704,
600100.SH,同方股份,19970627,
600101.SH,明星电力,19970627,
600103.SH,青山纸业,19970703,
600104.SH,上汽集团,19971125,
600105.SH,永鼎股份,19970929,
600106.SH,重庆路桥,19970618,
600107.SH,ST尔雅,19971106,
600108.SH,亚盛集团,19970818,
600109.SH,国金证券,19970807,
